Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
280,0.72,0.37,0.77,0.92,0.08,0.79,0.43,0.54,0.94,0.66,0.86,0.64,0.87,0.54,0.54,0.5,0.73,0.1,0.61,0.79,0.69,0.25,0.95,0.26
281,0.73,0.41,0.83,0.92,0,0.72,0.42,0.54,0.94,0.7,0.84,0.66,0.86,0.69,0.5,0.58,0.69,0.08,0.61,0.8,0.72,0.25,0.96,0.2
282,0.78,0.45,0.88,0.92,0,0.7,0.43,0.54,0.94,0.73,0.85,0.71,0.86,0.75,0.49,0.66,0.67,0.08,0.68,0.82,0.79,0.24,0.97,0.18
283,0.78,0.52,0.91,0.92,0,0.65,0.44,0.53,0.94,0.72,0.87,0.73,0.87,0.79,0.48,0.68,0.66,0.08,0.69,0.83,0.8,0.25,0.97,0.2
284,0.77,0.5,0.91,0.92,0,0.66,0.43,0.53,0.94,0.74,0.86,0.72,0.88,0.77,0.47,0.65,0.68,0.09,0.68,0.84,0.79,0.25,0.97,0.22
285,0.77,0.51,0.91,0.91,0,0.61,0.43,0.54,0.94,0.75,0.88,0.72,0.89,0.73,0.49,0.69,0.68,0.27,0.66,0.85,0.77,0.24,0.96,0.24
286,0.74,0.44,0.88,0.91,0,0.72,0.44,0.54,0.94,0.72,0.88,0.72,0.91,0.72,0.48,0.6,0.73,0.2,0.64,0.83,0.74,0.24,0.96,0.23
287,0.72,0.39,0.89,0.93,0,0.8,0.45,0.51,0.94,0.72,0.88,0.72,0.9,0.68,0.5,0.61,0.72,0.09,0.63,0.84,0.74,0.24,0.96,0.2
288,0.74,0.45,0.88,0.94,0,0.81,0.46,0.52,0.95,0.74,0.89,0.69,0.91,0.69,0.52,0.68,0.7,0.08,0.66,0.84,0.76,0.25,0.96,0.22
289,0.76,0.46,0.88,0.93,0,0.74,0.47,0.53,0.95,0.74,0.88,0.69,0.91,0.66,0.52,0.66,0.7,0.08,0.66,0.84,0.74,0.25,0.96,0.23
290,0.76,0.43,0.88,0.92,0,0.81,0.47,0.5,0.96,0.74,0.87,0.69,0.9,0.65,0.51,0.65,0.68,0.11,0.65,0.84,0.76,0.24,0.96,0.26
291,0.77,0.45,0.88,0.94,0,0.81,0.47,0.53,0.95,0.74,0.88,0.69,0.91,0.65,0.52,0.73,0.65,0.11,0.67,0.85,0.77,0.24,0.96,0.22
292,0.77,0.44,0.88,0.94,0,0.66,0.47,0.53,0.95,0.74,0.87,0.68,0.91,0.66,0.51,0.69,0.67,0.08,0.66,0.85,0.76,0.24,0.96,0.21
293,0.76,0.46,0.88,0.93,0,0.79,0.47,0.52,0.94,0.74,0.87,0.69,0.9,0.66,0.51,0.7,0.67,0.1,0.66,0.85,0.76,0.25,0.96,0.22
294,0.75,0.49,0.9,0.92,0,0.8,0.48,0.53,0.94,0.75,0.87,0.75,0.89,0.71,0.5,0.72,0.67,0.13,0.67,0.85,0.77,0.24,0.96,0.22
295,0.76,0.42,0.87,0.94,0,0.75,0.44,0.53,0.94,0.73,0.87,0.74,0.89,0.64,0.51,0.62,0.71,0.13,0.65,0.83,0.74,0.25,0.96,0.28
296,0.74,0.43,0.87,0.94,0,0.67,0.46,0.52,0.95,0.73,0.88,0.73,0.9,0.63,0.51,0.62,0.71,0.12,0.66,0.84,0.73,0.25,0.96,0.26
297,0.73,0.49,0.87,0.93,0,0.75,0.47,0.51,0.95,0.73,0.88,0.74,0.9,0.64,0.5,0.65,0.7,0.12,0.66,0.85,0.75,0.25,0.96,0.23
298,0.74,0.46,0.87,0.93,0,0.75,0.45,0.5,0.95,0.73,0.88,0.72,0.9,0.64,0.51,0.67,0.69,0.12,0.65,0.85,0.74,0.24,0.96,0.21
299,0.76,0.43,0.88,0.94,0,0.79,0.46,0.5,0.96,0.74,0.88,0.75,0.89,0.68,0.49,0.65,0.7,0.11,0.66,0.85,0.77,0.24,0.96,0.22
300,0.75,0.45,0.88,0.93,0,0.73,0.45,0.5,0.96,0.74,0.87,0.7,0.91,0.67,0.49,0.67,0.69,0.11,0.65,0.85,0.75,0.25,0.96,0.22
301,0.61,0.4,0.74,0.94,0,0.67,0.45,0.53,0.95,0.66,0.9,0.64,0.92,0.39,0.57,0.4,0.84,0.13,0.52,0.81,0.56,0.25,0.94,0.2
302,0.65,0.42,0.77,0.95,0,0.58,0.44,0.52,0.95,0.68,0.9,0.65,0.93,0.47,0.55,0.46,0.79,0.13,0.54,0.82,0.6,0.24,0.94,0.21
303,0.68,0.32,0.44,0.91,0.89,0.3,0.45,0.52,0.95,0.7,0.9,0.87,0.87,0.29,0.58,0.27,0.9,0.23,0.55,0.81,0.69,0.24,0.95,0.11
304,0.77,0.42,0.74,0.9,0.22,0.61,0.45,0.53,0.95,0.67,0.91,0.63,0.92,0.47,0.54,0.5,0.77,0.13,0.62,0.84,0.73,0.24,0.96,0.27
305,0.59,0.36,0.59,0.92,0.28,0.56,0.43,0.53,0.95,0.6,0.92,0.85,0.86,0.21,0.57,0.32,0.88,0.17,0.5,0.8,0.56,0.25,0.94,0.22
306,0.58,0.38,0.59,0.93,0.34,0.58,0.45,0.54,0.95,0.59,0.93,0.53,0.97,0.21,0.57,0.24,0.92,0.17,0.55,0.81,0.58,0.24,0.94,0.25
307,0.6,0.48,0.66,0.93,0.34,0.58,0.47,0.55,0.95,0.62,0.93,0.57,0.97,0.39,0.57,0.4,0.83,0.16,0.6,0.83,0.68,0.25,0.95,0.25
308,0.65,0.43,0.74,0.92,0.09,0.6,0.48,0.55,0.94,0.66,0.87,0.63,0.89,0.49,0.53,0.56,0.72,0.15,0.61,0.83,0.65,0.25,0.95,0.22
309,0.65,0.42,0.74,0.92,0,0.63,0.47,0.55,0.94,0.67,0.91,0.63,0.94,0.44,0.55,0.52,0.77,0.14,0.55,0.82,0.6,0.24,0.94,0.23
310,0.66,0.39,0.74,0.92,0.1,0.62,0.47,0.53,0.95,0.67,0.91,0.62,0.94,0.43,0.56,0.46,0.8,0.12,0.57,0.82,0.65,0.25,0.95,0.26
311,0.68,0.39,0.74,0.92,0.1,0.64,0.5,0.53,0.95,0.67,0.91,0.62,0.94,0.43,0.55,0.46,0.81,0.11,0.62,0.83,0.65,0.25,0.95,0.21
312,0.69,0.4,0.74,0.91,0.14,0.64,0.51,0.53,0.95,0.68,0.91,0.88,0.88,0.5,0.52,0.47,0.8,0.12,0.64,0.84,0.7,0.25,0.95,0.24
313,0.74,0.45,0.81,0.91,0,0.81,0.51,0.5,0.96,0.71,0.91,0.66,0.94,0.5,0.54,0.67,0.7,0.12,0.62,0.82,0.71,0.25,0.96,0.21
314,0.71,0.42,0.81,0.91,0,0.77,0.51,0.51,0.96,0.7,0.91,0.66,0.95,0.5,0.54,0.68,0.71,0.12,0.58,0.82,0.7,0.24,0.95,0.21
315,0.7,0.42,0.81,0.92,0,0.77,0.51,0.51,0.96,0.7,0.9,0.67,0.93,0.5,0.54,0.72,0.69,0.13,0.62,0.83,0.7,0.25,0.95,0.21
316,0.71,0.43,0.81,0.92,0,0.83,0.48,0.51,0.92,0.7,0.72,0.68,0.73,0.5,0.46,0.69,0.63,0.13,0.62,0.83,0.68,0.24,0.95,0.23
317,0.8,0.46,0.88,0.9,0,0.84,0.46,0.5,0.96,0.74,0.89,0.73,0.91,0.71,0.5,0.82,0.65,0.13,0.61,0.84,0.79,0.25,0.97,0.21
318,0.78,0.47,0.88,0.89,0,0.8,0.42,0.48,0.96,0.74,0.9,0.72,0.91,0.71,0.49,0.83,0.65,0.13,0.63,0.84,0.79,0.24,0.97,0.22
319,0.77,0.43,0.88,0.9,0,0.83,0.44,0.49,0.96,0.74,0.9,0.72,0.92,0.71,0.49,0.81,0.65,0.13,0.68,0.83,0.78,0.25,0.97,0.25
320,0.77,0.42,0.88,0.9,0,0.84,0.48,0.5,0.96,0.74,0.91,0.72,0.93,0.71,0.5,0.8,0.66,0.13,0.57,0.83,0.77,0.24,0.97,0.23
321,0.77,0.48,0.89,0.9,0,0.83,0.47,0.5,0.96,0.74,0.9,0.72,0.92,0.72,0.49,0.78,0.65,0.14,0.59,0.84,0.76,0.25,0.96,0.25
322,0.76,0.48,0.89,0.91,0,0.85,0.45,0.49,0.96,0.73,0.89,0.73,0.92,0.73,0.48,0.77,0.65,0.13,0.64,0.84,0.78,0.24,0.97,0.26
323,0.76,0.45,0.88,0.92,0,0.87,0.4,0.49,0.96,0.73,0.87,0.73,0.9,0.71,0.46,0.75,0.65,0.13,0.66,0.84,0.79,0.24,0.97,0.28
324,0.8,0.5,0.88,0.91,0,0.87,0.45,0.49,0.96,0.72,0.87,0.73,0.88,0.73,0.48,0.77,0.63,0.13,0.66,0.84,0.78,0.24,0.97,0.26
325,0.77,0.48,0.89,0.92,0,0.86,0.48,0.52,0.96,0.73,0.89,0.73,0.9,0.71,0.49,0.77,0.64,0.14,0.66,0.84,0.78,0.25,0.97,0.23
326,0.78,0.45,0.88,0.9,0,0.7,0.44,0.53,0.96,0.73,0.87,0.7,0.89,0.67,0.49,0.8,0.63,0.13,0.66,0.84,0.78,0.24,0.97,0.23
327,0.75,0.44,0.89,0.91,0,0.77,0.45,0.53,0.95,0.73,0.87,0.71,0.9,0.67,0.49,0.76,0.64,0.13,0.68,0.83,0.77,0.24,0.97,0.26
328,0.78,0.39,0.88,0.91,0,0.76,0.48,0.52,0.96,0.73,0.88,0.7,0.9,0.67,0.5,0.78,0.65,0.14,0.66,0.85,0.78,0.25,0.97,0.22
329,0.76,0.4,0.89,0.9,0,0.68,0.47,0.52,0.95,0.73,0.88,0.71,0.89,0.67,0.49,0.79,0.64,0.13,0.66,0.83,0.77,0.24,0.97,0.2
330,0.78,0.46,0.88,0.9,0,0.76,0.46,0.52,0.95,0.73,0.88,0.72,0.9,0.67,0.49,0.78,0.64,0.14,0.66,0.87,0.78,0.25,0.97,0.21
331,0.76,0.45,0.88,0.91,0,0.82,0.46,0.52,0.95,0.73,0.87,0.72,0.89,0.67,0.48,0.77,0.62,0.13,0.66,0.84,0.78,0.24,0.97,0.24
332,0.59,0.39,0.74,0.91,0,0.81,0.47,0.54,0.94,0.66,0.9,0.66,0.91,0.42,0.55,0.47,0.78,0.13,0.5,0.82,0.58,0.25,0.94,0.21
333,0.61,0.44,0.74,0.91,0.02,0.82,0.42,0.56,0.94,0.66,0.91,0.67,0.91,0.42,0.55,0.48,0.79,0.13,0.48,0.83,0.6,0.25,0.94,0.25
334,0.59,0.4,0.59,0.91,0.34,0.8,0.4,0.54,0.94,0.64,0.92,0.68,0.92,0.27,0.57,0.36,0.86,0.19,0.49,0.81,0.6,0.25,0.94,0.24
335,0.51,0.34,0.53,0.93,0.27,0.63,0.4,0.54,0.94,0.58,0.92,0.75,0.89,0.23,0.57,0.31,0.88,0.24,0.42,0.79,0.46,0.25,0.93,0.26
336,0.67,0.45,0.81,0.92,0,0.61,0.45,0.53,0.96,0.7,0.89,0.62,0.93,0.63,0.52,0.72,0.67,0.16,0.6,0.84,0.7,0.25,0.96,0.27
337,0.67,0.5,0.81,0.91,0,0.84,0.45,0.52,0.95,0.7,0.89,0.66,0.92,0.6,0.53,0.64,0.69,0.14,0.57,0.84,0.67,0.24,0.95,0.18
338,0.7,0.49,0.81,0.9,0,0.82,0.46,0.52,0.95,0.69,0.88,0.66,0.91,0.57,0.54,0.64,0.69,0.13,0.58,0.83,0.68,0.24,0.95,0.22
339,0.73,0.47,0.85,0.9,0,0.79,0.42,0.53,0.96,0.72,0.89,0.66,0.91,0.63,0.51,0.72,0.67,0.12,0.6,0.84,0.72,0.25,0.95,0.27
340,0.74,0.47,0.81,0.89,0,0.69,0.38,0.51,0.96,0.7,0.89,0.63,0.92,0.53,0.53,0.63,0.7,0.13,0.6,0.83,0.66,0.25,0.95,0.25
341,0.75,0.44,0.86,0.91,0,0.81,0.47,0.52,0.95,0.72,0.88,0.66,0.92,0.63,0.51,0.73,0.65,0.13,0.63,0.84,0.74,0.24,0.96,0.27
342,0.75,0.4,0.86,0.9,0,0.73,0.48,0.51,0.96,0.72,0.89,0.66,0.92,0.64,0.51,0.75,0.65,0.13,0.65,0.85,0.75,0.25,0.96,0.22
343,0.73,0.4,0.86,0.9,0,0.81,0.45,0.53,0.95,0.71,0.89,0.68,0.91,0.64,0.51,0.74,0.65,0.13,0.64,0.85,0.74,0.25,0.96,0.23
344,0.72,0.45,0.86,0.92,0,0.75,0.44,0.54,0.95,0.72,0.86,0.67,0.89,0.63,0.51,0.68,0.67,0.13,0.6,0.84,0.72,0.25,0.96,0.26
345,0.72,0.48,0.85,0.91,0,0.78,0.42,0.54,0.95,0.72,0.86,0.7,0.87,0.67,0.5,0.66,0.66,0.13,0.59,0.84,0.72,0.24,0.96,0.23
346,0.72,0.48,0.86,0.91,0,0.74,0.44,0.54,0.95,0.72,0.87,0.68,0.89,0.64,0.51,0.67,0.67,0.13,0.59,0.84,0.72,0.25,0.96,0.27
347,0.71,0.45,0.86,0.91,0,0.82,0.45,0.53,0.95,0.73,0.86,0.68,0.89,0.63,0.52,0.7,0.65,0.13,0.61,0.84,0.73,0.25,0.96,0.24
348,0.74,0.41,0.86,0.9,0,0.84,0.45,0.54,0.94,0.73,0.86,0.71,0.88,0.6,0.53,0.7,0.65,0.13,0.62,0.84,0.74,0.24,0.96,0.22
349,0.77,0.43,0.86,0.9,0,0.76,0.45,0.53,0.95,0.73,0.87,0.7,0.88,0.6,0.52,0.7,0.65,0.13,0.63,0.85,0.75,0.25,0.96,0.24
350,0.77,0.45,0.88,0.91,0,0.78,0.45,0.54,0.95,0.72,0.87,0.71,0.9,0.67,0.51,0.77,0.64,0.13,0.67,0.85,0.79,0.24,0.97,0.26
351,0.8,0.46,0.88,0.91,0,0.81,0.44,0.54,0.94,0.72,0.87,0.71,0.88,0.7,0.49,0.77,0.62,0.14,0.64,0.84,0.77,0.24,0.96,0.24
352,0.79,0.48,0.88,0.92,0,0.76,0.45,0.52,0.94,0.72,0.85,0.71,0.86,0.71,0.49,0.76,0.62,0.14,0.64,0.83,0.76,0.25,0.96,0.26
353,0.78,0.46,0.89,0.92,0,0.79,0.43,0.54,0.94,0.72,0.85,0.7,0.86,0.7,0.49,0.77,0.6,0.14,0.65,0.83,0.77,0.24,0.97,0.22
354,0.69,0.38,0.81,0.92,0,0.75,0.45,0.55,0.94,0.69,0.86,0.67,0.89,0.52,0.54,0.68,0.67,0.13,0.57,0.81,0.68,0.24,0.95,0.2
355,0.68,0.42,0.81,0.92,0,0.57,0.44,0.54,0.94,0.69,0.86,0.65,0.88,0.53,0.54,0.61,0.68,0.12,0.57,0.8,0.67,0.25,0.95,0.28
356,0.67,0.43,0.81,0.92,0,0.61,0.44,0.53,0.95,0.69,0.86,0.64,0.88,0.52,0.54,0.59,0.69,0.12,0.57,0.79,0.66,0.24,0.95,0.29
357,0.68,0.4,0.81,0.92,0,0.78,0.45,0.52,0.95,0.69,0.87,0.67,0.87,0.53,0.54,0.6,0.69,0.13,0.59,0.8,0.67,0.25,0.95,0.26
358,0.7,0.47,0.86,0.9,0,0.69,0.46,0.52,0.95,0.7,0.88,0.69,0.87,0.63,0.52,0.69,0.66,0.14,0.64,0.82,0.73,0.25,0.96,0.23
359,0.71,0.45,0.78,0.91,0,0.67,0.45,0.52,0.95,0.68,0.89,0.66,0.92,0.53,0.55,0.59,0.72,0.14,0.56,0.85,0.64,0.25,0.95,0.22
360,0.68,0.46,0.78,0.92,0,0.7,0.44,0.52,0.95,0.69,0.88,0.67,0.91,0.53,0.56,0.55,0.73,0.14,0.54,0.84,0.64,0.25,0.95,0.23
361,0.67,0.42,0.77,0.93,0,0.7,0.43,0.51,0.95,0.68,0.88,0.63,0.91,0.5,0.57,0.53,0.75,0.13,0.56,0.82,0.62,0.24,0.94,0.25
362,0.74,0.47,0.82,0.92,0.01,0.7,0.44,0.54,0.94,0.7,0.88,0.69,0.9,0.64,0.54,0.64,0.7,0.14,0.62,0.85,0.71,0.24,0.96,0.13
363,0.23,0.78,0.07,0.89,0.91,0.26,0.3,0.63,0.61,0.54,0.15,0.73,0.05,0.37,0.2,0.19,0.42,0.74,0.16,0.75,0.09,0.28,0.93,0.95
364,0.23,0.8,0.07,0.88,0.89,0.24,0.32,0.64,0.62,0.54,0.16,0.73,0.12,0.32,0.22,0.19,0.42,0.73,0.2,0.77,0.07,0.27,0.93,0.95
365,0.25,0.67,0.07,0.88,0.92,0.2,0.34,0.65,0.7,0.5,0.28,0.66,0.45,0.26,0.26,0.17,0.44,0.69,0.16,0.77,0.1,0.28,0.9,0.95
366,0.28,0.68,0.08,0.87,0.93,0.02,0.35,0.64,0.71,0.5,0.26,0.68,0.44,0.24,0.28,0.17,0.43,0.62,0.16,0.76,0.11,0.29,0.89,0.95
367,0.6,0.27,0.4,0.87,0.91,0.54,0.35,0.55,0.89,0.62,0.56,0.68,0.79,0.35,0.53,0.22,0.87,0.23,0.44,0.72,0.55,0.31,0.95,0.13
368,0.54,0.33,0.44,0.88,0.72,0.54,0.39,0.53,0.91,0.68,0.56,0.69,0.82,0.42,0.56,0.22,0.91,0.18,0.43,0.75,0.54,0.3,0.94,0.19
369,0.63,0.46,0.74,0.88,0.18,0.54,0.43,0.52,0.92,0.66,0.61,0.71,0.84,0.5,0.54,0.57,0.71,0.14,0.57,0.79,0.62,0.3,0.94,0.42
370,0.78,0.45,0.74,0.86,0.36,0.4,0.42,0.52,0.93,0.72,0.6,0.79,0.82,0.66,0.51,0.59,0.7,0.11,0.63,0.81,0.73,0.3,0.96,0.21
371,0.79,0.45,0.74,0.87,0.36,0.54,0.43,0.51,0.93,0.72,0.6,0.79,0.82,0.66,0.52,0.59,0.7,0.13,0.64,0.81,0.74,0.3,0.96,0.19
372,0.78,0.57,0.81,0.87,0.2,0.56,0.46,0.52,0.94,0.71,0.62,0.81,0.82,0.56,0.55,0.76,0.62,0.13,0.66,0.84,0.74,0.29,0.97,0.21
373,0.76,0.51,0.81,0.87,0.23,0.56,0.47,0.54,0.95,0.71,0.63,0.85,0.83,0.56,0.53,0.79,0.62,0.12,0.67,0.84,0.8,0.3,0.97,0.18
374,0.74,0.48,0.81,0.86,0.23,0.67,0.46,0.52,0.95,0.71,0.62,0.85,0.82,0.56,0.52,0.79,0.61,0.13,0.68,0.84,0.79,0.29,0.97,0.23
375,0.66,0.66,0.75,0.86,0.08,0.78,0.46,0.52,0.96,0.7,0.62,0.85,0.81,0.59,0.53,0.76,0.62,0.22,0.59,0.84,0.64,0.29,0.95,0.27
376,0.62,0.75,0.75,0.87,0,0.77,0.46,0.53,0.95,0.7,0.62,0.85,0.81,0.6,0.53,0.75,0.62,0.27,0.55,0.84,0.59,0.3,0.95,0.23
377,0.45,0.5,0.23,0.89,0.8,0.43,0.47,0.5,0.94,0.6,0.58,0.69,0.81,0.28,0.56,0.29,0.83,0.44,0.33,0.77,0.3,0.28,0.91,0.2
378,0.38,0.6,0.23,0.89,0.72,0.2,0.37,0.52,0.93,0.6,0.58,0.68,0.79,0.28,0.56,0.29,0.81,0.47,0.32,0.77,0.23,0.3,0.91,0.21
379,0.23,0.62,0.21,0.89,0.59,0,0.19,0.67,0.73,0.6,0.04,0.71,0.39,0.18,0.29,0.24,0.53,0.56,0.27,0.76,0.14,0.3,0.93,0.14
380,0.16,0.66,0.07,0.75,0.87,0,0.06,0.02,0.36,0.66,0.32,0.73,0.24,0.86,0.01,0.24,0.3,0.92,0.22,0.5,0.04,0.23,0.93,0.14
381,0.19,0.57,0.08,0.74,0.97,0,0.04,0.45,0.69,0.66,0.33,0.73,0.26,0.5,0.2,0.26,0.31,0.85,0.22,0.48,0.1,0.25,0.93,0.14
382,0.24,0.57,0.11,0.81,0.96,0,0.05,0.49,0.73,0.66,0.39,0.73,0.32,0.51,0.27,0.26,0.37,0.81,0.21,0.5,0.18,0.24,0.91,0.14
383,0.45,0.33,0.38,0.84,0.63,0.21,0.44,0.55,0.89,0.66,0.86,0.75,0.82,0.4,0.52,0.26,0.92,0.34,0.37,0.64,0.41,0.22,0.94,0.15
384,0.48,0.34,0.44,0.87,0.57,0.21,0.46,0.54,0.9,0.7,0.85,0.75,0.82,0.37,0.53,0.27,0.92,0.28,0.34,0.64,0.46,0.25,0.92,0.18
385,0.65,0.56,0.74,0.91,0.18,0.68,0.5,0.5,0.91,0.7,0.87,0.73,0.85,0.49,0.51,0.45,0.82,0.26,0.54,0.68,0.65,0.25,0.95,0.18
386,0.65,0.56,0.74,0.92,0.18,0.68,0.47,0.51,0.91,0.7,0.84,0.73,0.83,0.5,0.5,0.46,0.8,0.18,0.54,0.69,0.67,0.25,0.94,0.17
387,0.63,0.6,0.66,0.91,0.28,0.68,0.48,0.5,0.91,0.74,0.83,0.77,0.82,0.52,0.5,0.46,0.79,0.18,0.52,0.69,0.64,0.24,0.94,0.17
388,0.54,0.53,0.36,0.93,0.63,0.19,0.48,0.6,0.88,0.74,0.84,0.77,0.83,0.61,0.5,0.46,0.8,0.43,0.39,0.71,0.41,0.25,0.92,0.17
389,0.56,0.56,0.37,0.92,0.73,0.23,0.49,0.56,0.86,0.66,0.85,0.71,0.82,0.31,0.51,0.32,0.84,0.36,0.43,0.72,0.47,0.24,0.93,0.17
390,0.65,0.49,0.48,0.91,0.7,0.54,0.47,0.5,0.92,0.66,0.88,0.71,0.86,0.22,0.56,0.31,0.89,0.23,0.55,0.7,0.64,0.25,0.95,0.16
391,0.6,0.49,0.75,0.92,0.19,0.68,0.47,0.53,0.91,0.7,0.87,0.83,0.83,0.5,0.51,0.56,0.77,0.1,0.58,0.71,0.7,0.25,0.95,0.28
392,0.56,0.46,0.59,0.89,0.26,0.21,0.45,0.56,0.89,0.67,0.87,0.82,0.81,0.34,0.52,0.51,0.77,0.17,0.45,0.71,0.47,0.25,0.93,0.3
393,0.55,0.6,0.48,0.91,0.58,0.65,0.43,0.5,0.91,0.67,0.9,0.85,0.85,0.44,0.54,0.5,0.79,0.34,0.46,0.73,0.52,0.25,0.95,0.09
394,0.6,0.65,0.59,0.89,0.44,0.58,0.42,0.5,0.92,0.67,0.9,0.83,0.85,0.31,0.55,0.46,0.81,0.28,0.49,0.73,0.6,0.25,0.94,0.17
395,0.61,0.67,0.59,0.9,0.37,0.58,0.42,0.5,0.93,0.67,0.91,0.83,0.86,0.3,0.56,0.46,0.82,0.29,0.49,0.73,0.57,0.24,0.93,0.16
396,0.61,0.67,0.63,0.92,0.29,0.58,0.43,0.51,0.92,0.67,0.91,0.83,0.86,0.3,0.56,0.46,0.83,0.33,0.47,0.73,0.56,0.25,0.94,0.13
397,0.64,0.61,0.71,0.93,0.2,0.61,0.44,0.49,0.93,0.67,0.91,0.63,0.92,0.36,0.54,0.46,0.83,0.25,0.49,0.71,0.61,0.26,0.94,0.08
398,0.67,0.68,0.83,0.91,0,0.66,0.44,0.5,0.94,0.72,0.88,0.68,0.89,0.6,0.49,0.58,0.77,0.11,0.56,0.75,0.67,0.27,0.95,0.15
399,0.69,0.72,0.85,0.91,0,0.65,0.43,0.55,0.94,0.73,0.89,0.69,0.9,0.66,0.49,0.61,0.76,0.12,0.56,0.77,0.69,0.25,0.95,0.15
400,0.68,0.67,0.86,0.91,0,0.61,0.41,0.56,0.94,0.73,0.89,0.69,0.9,0.66,0.49,0.58,0.77,0.12,0.54,0.77,0.69,0.25,0.95,0.22
401,0.66,0.58,0.74,0.91,0.23,0.74,0.38,0.59,0.94,0.69,0.89,0.81,0.87,0.42,0.55,0.46,0.85,0.11,0.51,0.76,0.67,0.24,0.95,0.17
402,0.65,0.56,0.74,0.91,0.18,0.67,0.38,0.58,0.94,0.69,0.89,0.8,0.86,0.43,0.54,0.43,0.85,0.09,0.51,0.75,0.67,0.25,0.95,0.23
403,0.7,0.62,0.77,0.94,0.2,0.49,0.41,0.53,0.95,0.7,0.9,0.64,0.92,0.49,0.55,0.52,0.8,0.14,0.59,0.78,0.74,0.25,0.96,0.26
404,0.7,0.68,0.77,0.94,0.21,0.68,0.42,0.53,0.96,0.71,0.9,0.65,0.92,0.49,0.55,0.48,0.83,0.14,0.58,0.78,0.74,0.24,0.96,0.2
405,0.69,0.62,0.77,0.94,0.1,0.72,0.44,0.52,0.96,0.71,0.91,0.66,0.94,0.49,0.55,0.49,0.83,0.13,0.59,0.78,0.69,0.25,0.95,0.21
406,0.73,0.67,0.87,0.93,0,0.78,0.43,0.51,0.95,0.76,0.85,0.71,0.87,0.66,0.49,0.74,0.68,0.13,0.61,0.76,0.76,0.25,0.96,0.27
407,0.69,0.61,0.83,0.95,0.02,0.74,0.48,0.51,0.96,0.74,0.89,0.74,0.89,0.55,0.53,0.69,0.73,0.13,0.6,0.77,0.72,0.24,0.95,0.28
408,0.74,0.31,0.62,0.95,0.54,0.74,0.49,0.51,0.96,0.7,0.91,0.91,0.86,0.55,0.53,0.51,0.82,0.15,0.65,0.77,0.75,0.25,0.94,0.25
409,0.65,0.46,0.74,0.95,0.21,0.62,0.48,0.84,0.95,0.69,0.91,0.88,0.86,0.47,0.41,0.55,0.8,0.12,0.59,0.76,0.72,0.25,0.96,0.31
410,0.7,0.64,0.8,0.93,0,0.65,0.49,0.85,0.95,0.69,0.92,0.67,0.92,0.52,0.41,0.57,0.79,0.1,0.62,0.78,0.67,0.24,0.95,0.25
411,0.75,0.61,0.86,0.92,0,0.67,0.5,0.84,0.96,0.71,0.94,0.7,0.95,0.63,0.42,0.7,0.74,0.09,0.66,0.79,0.75,0.25,0.96,0.25
412,0.78,0.59,0.9,0.92,0,0.68,0.51,0.83,0.96,0.73,0.95,0.72,0.96,0.72,0.42,0.82,0.73,0.1,0.7,0.81,0.82,0.24,0.97,0.24
413,0.8,0.54,0.9,0.92,0,0.63,0.51,0.83,0.96,0.73,0.95,0.72,0.96,0.72,0.41,0.81,0.71,0.1,0.73,0.83,0.81,0.24,0.97,0.21
414,0.82,0.61,0.94,0.92,0,0.73,0.5,0.84,0.95,0.77,0.93,0.76,0.94,0.77,0.4,0.87,0.69,0.1,0.75,0.83,0.86,0.25,0.97,0.2
415,0.84,0.64,0.97,0.92,0,0.77,0.49,0.85,0.96,0.76,0.92,0.78,0.93,0.85,0.39,0.9,0.67,0.09,0.77,0.82,0.89,0.24,0.98,0.14
416,0.83,0.66,0.97,0.91,0,0.76,0.5,0.85,0.95,0.76,0.93,0.78,0.94,0.85,0.4,0.91,0.68,0.09,0.77,0.82,0.9,0.25,0.98,0.17
417,0.73,0.48,0.87,0.93,0,0.76,0.51,0.85,0.95,0.72,0.94,0.73,0.95,0.6,0.42,0.77,0.73,0.11,0.62,0.78,0.76,0.25,0.96,0.25
418,0.72,0.43,0.74,0.92,0,0.79,0.54,0.86,0.95,0.67,0.96,0.67,0.96,0.33,0.42,0.59,0.79,0.11,0.39,0.75,0.6,0.25,0.94,0.22
419,0.71,0.46,0.81,0.92,0,0.79,0.54,0.86,0.95,0.7,0.95,0.71,0.96,0.47,0.41,0.72,0.74,0.12,0.41,0.77,0.7,0.25,0.96,0.21
420,0.76,0.57,0.86,0.94,0,0.78,0.52,0.86,0.95,0.72,0.94,0.73,0.94,0.59,0.41,0.82,0.71,0.12,0.61,0.78,0.78,0.24,0.97,0.28
421,0.83,0.6,0.92,0.95,0,0.77,0.5,0.85,0.95,0.74,0.93,0.75,0.93,0.72,0.41,0.89,0.68,0.12,0.74,0.8,0.86,0.25,0.98,0.24
422,0.87,0.63,0.93,0.95,0,0.77,0.5,0.5,0.95,0.74,0.92,0.75,0.93,0.74,0.48,0.89,0.67,0.1,0.76,0.81,0.87,0.25,0.98,0.24
423,0.87,0.66,0.97,0.94,0,0.76,0.49,0.5,0.96,0.76,0.91,0.77,0.92,0.85,0.45,0.94,0.66,0.09,0.78,0.82,0.92,0.24,0.98,0.25
