Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
276,0.88,0.54,0.96,0.96,0.00,0.93,0.52,0.87,0.94,0.78,0.92,0.76,0.94,0.89,0.40,0.86,0.69,0.06,0.78,0.89,0.91,0.24,0.98,0.24
277,0.88,0.54,0.95,0.96,0.00,0.88,0.53,0.51,0.95,0.78,0.93,0.75,0.95,0.82,0.48,0.87,0.70,0.05,0.79,0.89,0.89,0.24,0.98,0.28
278,0.87,0.50,0.96,0.96,0.00,0.73,0.52,0.51,0.95,0.78,0.92,0.73,0.94,0.83,0.47,0.87,0.69,0.05,0.80,0.90,0.86,0.25,0.98,0.25
279,0.86,0.56,0.96,0.94,0.00,0.74,0.49,0.51,0.96,0.78,0.92,0.73,0.95,0.83,0.47,0.87,0.70,0.05,0.78,0.90,0.86,0.24,0.98,0.27
280,0.65,0.39,0.85,0.93,0.00,0.68,0.50,0.53,0.94,0.71,0.89,0.68,0.89,0.54,0.52,0.59,0.75,0.05,0.54,0.80,0.69,0.26,0.95,0.14
281,0.62,0.38,0.77,0.93,0.00,0.83,0.47,0.51,0.93,0.68,0.90,0.65,0.90,0.36,0.55,0.49,0.81,0.07,0.51,0.78,0.58,0.24,0.94,0.26
282,0.63,0.33,0.74,0.92,0.00,0.80,0.47,0.50,0.93,0.67,0.90,0.64,0.89,0.31,0.55,0.43,0.82,0.08,0.51,0.77,0.54,0.25,0.94,0.24
283,0.65,0.27,0.74,0.93,0.11,0.81,0.48,0.82,0.95,0.67,0.93,0.63,0.95,0.30,0.42,0.40,0.89,0.08,0.54,0.78,0.60,0.25,0.94,0.28
284,0.67,0.36,0.78,0.93,0.00,0.86,0.50,0.80,0.94,0.69,0.93,0.67,0.95,0.39,0.43,0.56,0.81,0.07,0.59,0.78,0.61,0.25,0.95,0.24
285,0.67,0.41,0.78,0.93,0.00,0.92,0.51,0.81,0.93,0.69,0.90,0.67,0.90,0.39,0.40,0.57,0.76,0.07,0.59,0.79,0.62,0.25,0.95,0.23
286,0.67,0.38,0.78,0.93,0.00,0.91,0.49,0.81,0.93,0.69,0.88,0.67,0.89,0.39,0.40,0.54,0.77,0.06,0.59,0.76,0.61,0.25,0.95,0.19
287,0.76,0.40,0.91,0.94,0.00,0.71,0.47,0.83,0.93,0.74,0.85,0.71,0.85,0.69,0.40,0.81,0.63,0.07,0.72,0.84,0.80,0.25,0.97,0.23
288,0.73,0.43,0.83,0.95,0.00,0.71,0.47,0.84,0.93,0.70,0.93,0.67,0.94,0.54,0.42,0.63,0.77,0.07,0.68,0.84,0.67,0.25,0.95,0.25
289,0.85,0.49,0.96,0.95,0.00,0.84,0.48,0.85,0.93,0.76,0.94,0.74,0.95,0.79,0.41,0.87,0.70,0.05,0.79,0.91,0.87,0.31,0.97,0.17
290,0.71,0.39,0.83,0.94,0.00,0.79,0.50,0.82,0.94,0.70,0.94,0.68,0.95,0.52,0.42,0.67,0.77,0.06,0.64,0.87,0.65,0.32,0.95,0.20
291,0.75,0.34,0.81,0.94,0.00,0.89,0.46,0.83,0.94,0.70,0.93,0.68,0.93,0.48,0.41,0.61,0.77,0.05,0.63,0.86,0.66,0.31,0.95,0.25
292,0.78,0.35,0.81,0.94,0.00,0.83,0.47,0.83,0.94,0.70,0.92,0.68,0.93,0.48,0.41,0.64,0.76,0.05,0.65,0.86,0.64,0.32,0.95,0.27
293,0.83,0.51,0.98,0.94,0.00,0.65,0.49,0.83,0.94,0.77,0.94,0.70,0.98,0.82,0.41,0.93,0.68,0.05,0.81,0.93,0.87,0.31,0.98,0.25
294,0.86,0.45,0.99,0.94,0.00,0.57,0.50,0.50,0.94,0.77,0.93,0.73,0.95,0.76,0.47,0.91,0.68,0.05,0.79,0.92,0.86,0.31,0.98,0.24
295,0.88,0.43,1.00,0.92,0.00,0.92,0.44,0.51,0.94,0.81,0.90,0.79,0.92,0.83,0.45,0.85,0.70,0.06,0.78,0.91,0.88,0.31,0.98,0.25
296,0.87,0.43,1.00,0.93,0.00,0.92,0.44,0.51,0.93,0.81,0.89,0.80,0.90,0.86,0.45,0.84,0.68,0.06,0.79,0.89,0.88,0.31,0.98,0.27
297,0.40,0.33,0.29,0.95,0.81,0.22,0.37,0.55,0.77,0.70,0.38,0.85,0.36,0.46,0.32,0.29,0.57,0.71,0.32,0.32,0.32,0.32,0.92,0.17
298,0.58,0.14,0.70,0.94,0.10,0.41,0.40,0.51,0.90,0.64,0.77,0.57,0.78,0.28,0.51,0.28,0.82,0.32,0.46,0.27,0.47,0.31,0.94,0.21
299,0.58,0.24,0.52,0.94,0.43,0.57,0.43,0.51,0.90,0.60,0.84,0.85,0.74,0.26,0.52,0.27,0.85,0.22,0.47,0.54,0.48,0.31,0.94,0.29
300,0.67,0.33,0.74,0.94,0.09,0.74,0.50,0.51,0.94,0.65,0.94,0.59,0.95,0.37,0.56,0.54,0.80,0.11,0.60,0.77,0.59,0.31,0.95,0.26
301,0.72,0.34,0.78,0.94,0.00,0.74,0.52,0.51,0.93,0.64,0.95,0.58,0.97,0.48,0.53,0.63,0.77,0.11,0.66,0.79,0.61,0.31,0.95,0.28
302,0.89,0.46,1.00,0.95,0.00,0.86,0.47,0.50,0.94,0.77,0.92,0.75,0.95,0.99,0.41,0.93,0.66,0.06,0.83,0.87,0.91,0.31,0.97,0.18
303,0.88,0.48,1.00,0.93,0.00,0.87,0.48,0.50,0.94,0.77,0.92,0.75,0.94,0.96,0.43,0.89,0.68,0.07,0.82,0.88,0.86,0.31,0.98,0.21
304,0.89,0.46,1.00,0.94,0.00,0.84,0.47,0.51,0.93,0.77,0.90,0.74,0.93,0.97,0.41,0.88,0.67,0.05,0.80,0.88,0.87,0.31,0.98,0.22
305,0.88,0.46,1.00,0.94,0.00,0.85,0.47,0.51,0.94,0.77,0.91,0.74,0.94,0.99,0.41,0.88,0.68,0.06,0.79,0.89,0.87,0.31,0.97,0.30
306,0.76,0.39,0.88,0.95,0.00,0.69,0.46,0.50,0.94,0.68,0.93,0.67,0.95,0.72,0.49,0.70,0.74,0.10,0.67,0.84,0.72,0.31,0.97,0.31
307,0.77,0.39,0.88,0.96,0.00,0.78,0.46,0.50,0.94,0.70,0.92,0.66,0.94,0.73,0.47,0.71,0.72,0.08,0.69,0.84,0.73,0.32,0.97,0.23
308,0.76,0.39,0.88,0.95,0.00,0.76,0.48,0.48,0.95,0.73,0.94,0.69,0.95,0.73,0.49,0.70,0.75,0.08,0.72,0.84,0.73,0.31,0.96,0.21
309,0.78,0.39,0.87,0.95,0.00,0.84,0.46,0.49,0.95,0.72,0.93,0.70,0.96,0.70,0.48,0.71,0.75,0.08,0.71,0.85,0.71,0.31,0.96,0.23
310,0.83,0.41,0.96,0.94,0.00,0.72,0.48,0.47,0.94,0.76,0.91,0.69,0.95,0.90,0.43,0.84,0.68,0.09,0.78,0.89,0.83,0.31,0.97,0.26
311,0.84,0.44,0.99,0.93,0.00,0.84,0.49,0.48,0.94,0.77,0.93,0.74,0.95,0.94,0.42,0.85,0.70,0.09,0.79,0.90,0.86,0.31,0.97,0.21
312,0.85,0.45,0.99,0.93,0.00,0.86,0.48,0.48,0.94,0.78,0.93,0.76,0.95,0.94,0.43,0.85,0.71,0.09,0.80,0.90,0.86,0.31,0.97,0.20
313,0.86,0.45,1.00,0.93,0.00,0.84,0.49,0.48,0.94,0.81,0.92,0.76,0.95,0.93,0.42,0.84,0.71,0.09,0.80,0.91,0.85,0.31,0.97,0.24
314,0.86,0.45,1.00,0.93,0.00,0.83,0.48,0.48,0.94,0.82,0.92,0.76,0.94,0.93,0.42,0.82,0.70,0.09,0.79,0.91,0.85,0.31,0.97,0.23
315,0.85,0.43,0.99,0.94,0.00,0.83,0.48,0.48,0.94,0.77,0.92,0.76,0.94,0.96,0.40,0.83,0.71,0.09,0.77,0.90,0.84,0.31,0.97,0.27
316,0.80,0.37,0.90,0.94,0.00,0.83,0.49,0.48,0.94,0.72,0.92,0.70,0.93,0.74,0.44,0.70,0.73,0.09,0.70,0.86,0.71,0.31,0.96,0.24
317,0.76,0.39,0.90,0.94,0.00,0.83,0.45,0.48,0.94,0.72,0.92,0.70,0.91,0.77,0.43,0.69,0.73,0.08,0.66,0.87,0.72,0.31,0.96,0.19
318,0.77,0.38,0.89,0.94,0.00,0.80,0.43,0.48,0.94,0.71,0.89,0.69,0.90,0.74,0.45,0.72,0.70,0.08,0.68,0.86,0.73,0.31,0.96,0.24
319,0.87,0.39,1.00,0.94,0.00,0.84,0.47,0.48,0.94,0.77,0.91,0.74,0.92,0.96,0.41,0.87,0.67,0.07,0.79,0.89,0.87,0.31,0.98,0.23
320,0.90,0.37,0.99,0.94,0.00,0.85,0.48,0.49,0.94,0.78,0.91,0.75,0.93,0.97,0.41,0.86,0.68,0.08,0.80,0.88,0.90,0.31,0.98,0.21
321,0.88,0.40,0.99,0.95,0.00,0.91,0.45,0.48,0.95,0.78,0.91,0.77,0.93,0.97,0.42,0.86,0.68,0.09,0.80,0.88,0.91,0.31,0.98,0.23
322,0.86,0.42,1.00,0.94,0.00,0.85,0.46,0.48,0.95,0.78,0.92,0.78,0.94,0.97,0.42,0.85,0.70,0.09,0.80,0.89,0.90,0.31,0.98,0.22
323,0.87,0.38,1.00,0.95,0.00,0.85,0.46,0.48,0.94,0.78,0.92,0.77,0.93,0.97,0.42,0.84,0.69,0.09,0.80,0.89,0.91,0.31,0.98,0.22
324,0.89,0.39,0.99,0.95,0.00,0.84,0.47,0.49,0.94,0.78,0.91,0.77,0.92,0.97,0.41,0.84,0.68,0.09,0.81,0.89,0.88,0.31,0.98,0.26
325,0.88,0.38,1.00,0.95,0.00,0.90,0.48,0.48,0.95,0.78,0.93,0.76,0.94,0.96,0.42,0.88,0.68,0.08,0.82,0.89,0.89,0.31,0.98,0.25
326,0.87,0.39,0.99,0.96,0.00,0.88,0.45,0.48,0.95,0.78,0.91,0.76,0.93,0.95,0.42,0.85,0.69,0.09,0.78,0.88,0.91,0.31,0.98,0.20
327,0.89,0.41,1.00,0.95,0.00,0.88,0.47,0.47,0.95,0.78,0.92,0.76,0.94,0.95,0.42,0.85,0.71,0.09,0.81,0.88,0.91,0.31,0.98,0.22
328,0.87,0.39,1.00,0.95,0.00,0.72,0.46,0.49,0.95,0.78,0.93,0.75,0.96,0.95,0.43,0.86,0.70,0.08,0.82,0.89,0.91,0.30,0.98,0.21
329,0.85,0.42,1.00,0.95,0.00,0.83,0.46,0.49,0.96,0.78,0.92,0.75,0.95,0.95,0.43,0.88,0.68,0.09,0.83,0.89,0.92,0.31,0.98,0.21
330,0.87,0.42,1.00,0.95,0.00,0.92,0.47,0.48,0.96,0.78,0.94,0.76,0.96,0.95,0.43,0.93,0.69,0.09,0.85,0.90,0.92,0.31,0.98,0.23
331,0.87,0.41,1.00,0.95,0.00,0.88,0.45,0.49,0.95,0.78,0.93,0.76,0.95,0.95,0.43,0.85,0.70,0.08,0.83,0.90,0.92,0.31,0.98,0.25
332,0.89,0.40,1.00,0.96,0.00,0.81,0.44,0.49,0.95,0.78,0.93,0.75,0.94,0.95,0.43,0.86,0.70,0.09,0.83,0.89,0.92,0.31,0.98,0.26
333,0.89,0.39,0.99,0.95,0.00,0.86,0.45,0.48,0.95,0.78,0.93,0.76,0.96,0.95,0.43,0.87,0.70,0.08,0.83,0.89,0.93,0.31,0.98,0.24
334,0.91,0.39,1.00,0.97,0.00,0.82,0.46,0.49,0.95,0.78,0.93,0.75,0.95,0.95,0.42,0.85,0.70,0.08,0.81,0.89,0.93,0.31,0.98,0.21
335,0.90,0.38,1.00,0.98,0.00,0.80,0.48,0.48,0.96,0.78,0.94,0.75,0.95,0.95,0.44,0.87,0.71,0.08,0.79,0.89,0.93,0.31,0.98,0.20
336,0.67,0.32,0.87,0.96,0.00,0.78,0.46,0.50,0.95,0.72,0.91,0.70,0.93,0.67,0.48,0.62,0.78,0.07,0.63,0.82,0.76,0.31,0.96,0.18
337,0.68,0.27,0.80,0.97,0.00,0.82,0.47,0.54,0.93,0.69,0.90,0.67,0.91,0.49,0.51,0.52,0.79,0.07,0.60,0.78,0.63,0.31,0.94,0.16
338,0.68,0.28,0.80,0.97,0.00,0.57,0.50,0.49,0.94,0.69,0.90,0.64,0.92,0.49,0.52,0.52,0.81,0.08,0.55,0.78,0.64,0.31,0.95,0.09
339,0.62,0.29,0.74,0.95,0.00,0.85,0.50,0.48,0.95,0.67,0.92,0.64,0.94,0.37,0.56,0.39,0.87,0.08,0.53,0.76,0.57,0.31,0.94,0.17
340,0.70,0.35,0.85,0.94,0.00,0.74,0.48,0.48,0.95,0.72,0.92,0.69,0.93,0.63,0.50,0.62,0.76,0.07,0.67,0.81,0.73,0.31,0.96,0.21
341,0.74,0.34,0.86,0.95,0.00,0.79,0.50,0.47,0.95,0.72,0.94,0.69,0.96,0.63,0.50,0.65,0.77,0.07,0.69,0.82,0.73,0.31,0.96,0.18
342,0.80,0.36,0.91,0.95,0.00,0.82,0.48,0.47,0.95,0.74,0.93,0.72,0.94,0.78,0.45,0.76,0.71,0.07,0.75,0.85,0.82,0.31,0.97,0.22
343,0.85,0.39,0.96,0.96,0.00,0.74,0.49,0.47,0.95,0.76,0.93,0.73,0.94,0.88,0.43,0.84,0.69,0.08,0.82,0.87,0.89,0.31,0.98,0.24
344,0.62,0.36,0.64,0.97,0.27,0.80,0.49,0.48,0.90,0.64,0.87,0.73,0.84,0.30,0.51,0.41,0.78,0.20,0.50,0.78,0.56,0.32,0.94,0.12
345,0.56,0.31,0.59,0.95,0.33,0.36,0.48,0.49,0.94,0.67,0.92,0.77,0.91,0.38,0.57,0.41,0.88,0.22,0.50,0.78,0.57,0.30,0.94,0.25
346,0.61,0.32,0.59,0.97,0.30,0.38,0.49,0.48,0.93,0.62,0.95,0.85,0.89,0.38,0.56,0.39,0.89,0.25,0.48,0.78,0.53,0.29,0.94,0.30
347,0.61,0.32,0.52,0.97,0.36,0.67,0.48,0.48,0.93,0.62,0.94,0.83,0.89,0.33,0.56,0.38,0.89,0.28,0.48,0.78,0.48,0.31,0.94,0.27
348,0.62,0.31,0.60,0.97,0.33,0.67,0.48,0.48,0.94,0.66,0.93,0.83,0.89,0.38,0.55,0.38,0.87,0.22,0.52,0.78,0.59,0.32,0.95,0.30
349,0.67,0.37,0.78,0.96,0.00,0.79,0.48,0.48,0.93,0.69,0.90,0.66,0.93,0.52,0.52,0.55,0.78,0.11,0.58,0.80,0.67,0.31,0.96,0.29
350,0.66,0.35,0.78,0.97,0.00,0.71,0.48,0.49,0.93,0.69,0.92,0.65,0.93,0.50,0.53,0.52,0.80,0.09,0.58,0.80,0.66,0.31,0.95,0.28
351,0.68,0.33,0.78,0.98,0.00,0.66,0.49,0.48,0.93,0.66,0.93,0.62,0.95,0.49,0.53,0.56,0.79,0.08,0.59,0.80,0.66,0.31,0.95,0.23
352,0.69,0.33,0.80,0.98,0.00,0.18,0.49,0.49,0.93,0.67,0.93,0.58,0.95,0.52,0.53,0.58,0.80,0.09,0.59,0.79,0.66,0.32,0.95,0.26
353,0.65,0.32,0.74,0.98,0.00,0.68,0.48,0.49,0.93,0.65,0.92,0.60,0.95,0.39,0.55,0.46,0.82,0.09,0.54,0.78,0.59,0.31,0.94,0.23
354,0.74,0.30,0.81,0.96,0.00,0.92,0.50,0.47,0.94,0.67,0.92,0.66,0.95,0.55,0.52,0.62,0.75,0.09,0.65,0.79,0.70,0.31,0.95,0.28
355,0.78,0.34,0.85,0.96,0.00,0.77,0.51,0.48,0.94,0.71,0.92,0.68,0.93,0.66,0.49,0.72,0.71,0.09,0.72,0.80,0.77,0.32,0.96,0.22
356,0.76,0.39,0.87,0.95,0.00,0.73,0.50,0.47,0.94,0.71,0.91,0.68,0.93,0.70,0.49,0.76,0.70,0.08,0.74,0.83,0.79,0.31,0.97,0.21
357,0.81,0.44,0.91,0.95,0.00,0.25,0.52,0.48,0.94,0.74,0.91,0.67,0.95,0.80,0.47,0.82,0.68,0.08,0.80,0.85,0.84,0.32,0.97,0.24
358,0.93,0.47,1.00,0.95,0.00,0.94,0.51,0.79,0.93,0.79,0.93,0.77,0.95,0.94,0.40,0.88,0.71,0.08,0.87,0.90,0.94,0.31,0.99,0.23
359,0.91,0.45,1.00,0.96,0.00,0.91,0.48,0.77,0.93,0.79,0.91,0.77,0.93,0.95,0.40,0.83,0.70,0.07,0.83,0.89,0.92,0.31,0.98,0.25
360,0.89,0.43,1.00,0.96,0.00,0.94,0.50,0.82,0.93,0.79,0.92,0.77,0.94,0.94,0.40,0.82,0.71,0.08,0.83,0.89,0.92,0.31,0.98,0.23
361,0.91,0.40,1.00,0.95,0.00,0.87,0.48,0.81,0.93,0.79,0.90,0.76,0.93,0.94,0.40,0.81,0.69,0.07,0.83,0.86,0.91,0.31,0.98,0.23
362,0.92,0.41,0.99,0.93,0.00,0.83,0.47,0.82,0.93,0.78,0.90,0.76,0.92,0.94,0.39,0.84,0.68,0.07,0.84,0.88,0.92,0.31,0.98,0.22
363,0.89,0.40,1.00,0.95,0.00,0.82,0.49,0.86,0.94,0.78,0.91,0.76,0.94,0.94,0.39,0.84,0.70,0.07,0.85,0.88,0.94,0.31,0.98,0.22
364,0.88,0.39,0.99,0.96,0.00,0.89,0.48,0.87,0.93,0.78,0.92,0.76,0.95,0.94,0.38,0.84,0.69,0.07,0.83,0.89,0.93,0.29,0.98,0.23
365,0.90,0.39,1.00,0.96,0.00,0.89,0.48,0.86,0.93,0.78,0.91,0.76,0.94,0.94,0.38,0.83,0.69,0.07,0.84,0.89,0.93,0.29,0.98,0.22
366,0.92,0.40,0.99,0.96,0.00,0.77,0.50,0.85,0.94,0.78,0.92,0.75,0.95,0.94,0.40,0.84,0.71,0.07,0.85,0.90,0.92,0.29,0.98,0.21
367,0.92,0.38,1.00,0.96,0.00,0.87,0.50,0.84,0.93,0.78,0.94,0.76,0.96,0.94,0.39,0.84,0.71,0.07,0.83,0.89,0.91,0.29,0.98,0.23
368,0.92,0.38,1.00,0.95,0.00,0.86,0.49,0.80,0.93,0.79,0.93,0.76,0.93,0.94,0.40,0.83,0.69,0.07,0.81,0.88,0.90,0.29,0.98,0.26
369,0.92,0.40,1.00,0.94,0.00,0.76,0.48,0.76,0.93,0.78,0.91,0.75,0.93,0.94,0.41,0.82,0.70,0.07,0.81,0.88,0.90,0.29,0.98,0.27
370,0.90,0.40,1.00,0.95,0.00,0.85,0.50,0.76,0.93,0.78,0.93,0.77,0.95,0.94,0.42,0.82,0.71,0.07,0.78,0.87,0.90,0.30,0.98,0.25
371,0.86,0.39,1.00,0.96,0.00,0.93,0.43,0.74,0.94,0.78,0.92,0.77,0.95,0.94,0.41,0.84,0.71,0.06,0.71,0.88,0.91,0.30,0.98,0.25
372,0.86,0.37,1.00,0.97,0.00,0.93,0.49,0.64,0.94,0.79,0.91,0.77,0.94,0.94,0.41,0.84,0.70,0.07,0.82,0.87,0.92,0.29,0.99,0.22
373,0.88,0.38,1.00,0.96,0.00,0.93,0.42,0.75,0.94,0.79,0.91,0.77,0.93,0.94,0.40,0.85,0.69,0.07,0.83,0.88,0.91,0.29,0.98,0.24
374,0.91,0.38,1.00,0.96,0.00,0.91,0.48,0.50,0.94,0.79,0.92,0.77,0.94,0.94,0.42,0.85,0.70,0.07,0.80,0.88,0.92,0.29,0.98,0.29
375,0.90,0.37,1.00,0.95,0.00,0.80,0.47,0.79,0.94,0.79,0.91,0.76,0.93,0.94,0.40,0.83,0.70,0.07,0.84,0.89,0.92,0.29,0.98,0.25
376,0.90,0.37,1.00,0.96,0.00,0.85,0.48,0.80,0.94,0.79,0.91,0.76,0.94,0.94,0.40,0.85,0.70,0.07,0.84,0.89,0.92,0.29,0.98,0.28
377,0.90,0.35,1.00,0.97,0.00,0.88,0.48,0.47,0.94,0.79,0.90,0.77,0.92,0.93,0.41,0.84,0.69,0.07,0.83,0.89,0.93,0.29,0.98,0.24
378,0.90,0.36,1.00,0.96,0.00,0.81,0.49,0.45,0.95,0.79,0.92,0.76,0.95,0.94,0.41,0.86,0.70,0.08,0.76,0.90,0.93,0.29,0.98,0.24
379,0.89,0.36,0.99,0.96,0.00,0.90,0.47,0.46,0.94,0.79,0.91,0.77,0.93,0.95,0.42,0.86,0.69,0.08,0.84,0.90,0.92,0.29,0.98,0.24
380,0.92,0.37,1.00,0.96,0.00,0.91,0.46,0.48,0.94,0.79,0.91,0.77,0.93,0.93,0.42,0.86,0.69,0.07,0.86,0.90,0.92,0.29,0.98,0.23
381,0.89,0.37,0.99,0.97,0.00,0.92,0.45,0.47,0.94,0.80,0.90,0.77,0.91,0.92,0.41,0.83,0.68,0.06,0.83,0.89,0.92,0.29,0.98,0.26
382,0.90,0.36,1.00,0.96,0.00,0.91,0.42,0.47,0.94,0.78,0.90,0.77,0.91,0.93,0.41,0.87,0.67,0.06,0.83,0.90,0.92,0.29,0.98,0.24
383,0.90,0.37,1.00,0.95,0.00,0.87,0.46,0.80,0.94,0.78,0.90,0.77,0.92,0.93,0.39,0.85,0.68,0.07,0.81,0.90,0.92,0.29,0.98,0.27
384,0.91,0.38,1.00,0.96,0.00,0.81,0.43,0.79,0.93,0.78,0.89,0.76,0.91,0.93,0.39,0.86,0.67,0.08,0.84,0.90,0.93,0.29,0.98,0.20
385,0.88,0.38,0.99,0.94,0.00,0.89,0.43,0.49,0.94,0.78,0.90,0.76,0.92,0.95,0.41,0.83,0.69,0.08,0.83,0.90,0.91,0.29,0.98,0.21
386,0.84,0.39,1.00,0.94,0.00,0.93,0.44,0.47,0.94,0.78,0.90,0.77,0.93,0.95,0.41,0.80,0.71,0.08,0.79,0.90,0.88,0.29,0.97,0.23
387,0.89,0.37,1.00,0.96,0.00,0.94,0.44,0.48,0.94,0.79,0.90,0.77,0.92,0.95,0.41,0.82,0.70,0.07,0.82,0.90,0.92,0.29,0.98,0.25
388,0.88,0.36,0.99,0.97,0.00,0.88,0.49,0.78,0.94,0.79,0.92,0.77,0.94,0.95,0.39,0.85,0.70,0.07,0.85,0.89,0.94,0.29,0.98,0.28
389,0.57,0.40,0.31,0.98,0.83,0.65,0.42,0.54,0.89,0.70,0.85,0.81,0.83,0.61,0.47,0.41,0.79,0.36,0.45,0.79,0.42,0.30,0.93,0.25
390,0.89,0.35,0.97,0.97,0.00,0.79,0.47,0.48,0.93,0.78,0.90,0.75,0.92,0.92,0.42,0.80,0.71,0.07,0.81,0.85,0.91,0.29,0.98,0.20
391,0.77,0.31,0.88,0.96,0.00,0.75,0.44,0.49,0.92,0.74,0.89,0.70,0.91,0.71,0.46,0.59,0.76,0.08,0.66,0.81,0.76,0.29,0.96,0.34
392,0.81,0.34,0.91,0.95,0.00,0.75,0.44,0.48,0.92,0.75,0.90,0.72,0.92,0.78,0.44,0.66,0.74,0.08,0.73,0.82,0.81,0.29,0.96,0.28
393,0.85,0.35,0.96,0.97,0.00,0.92,0.45,0.49,0.93,0.77,0.91,0.75,0.94,0.89,0.43,0.77,0.72,0.08,0.79,0.85,0.89,0.29,0.98,0.20
394,0.85,0.38,0.98,0.97,0.00,0.90,0.46,0.49,0.93,0.78,0.91,0.76,0.93,0.94,0.42,0.78,0.71,0.08,0.81,0.86,0.90,0.29,0.98,0.26
395,0.62,0.31,0.77,0.96,0.00,0.73,0.50,0.80,0.93,0.69,0.94,0.68,0.95,0.45,0.43,0.45,0.85,0.11,0.55,0.77,0.59,0.30,0.94,0.22
396,0.66,0.31,0.77,0.97,0.00,0.67,0.50,0.50,0.93,0.69,0.93,0.67,0.95,0.45,0.53,0.48,0.83,0.15,0.57,0.78,0.60,0.30,0.94,0.24
397,0.66,0.32,0.63,0.96,0.30,0.64,0.48,0.50,0.92,0.68,0.93,0.73,0.93,0.44,0.53,0.49,0.83,0.18,0.59,0.78,0.60,0.30,0.94,0.28
398,0.68,0.31,0.65,0.97,0.33,0.64,0.48,0.50,0.93,0.66,0.94,0.77,0.93,0.42,0.54,0.46,0.84,0.20,0.63,0.78,0.65,0.28,0.95,0.28
399,0.74,0.29,0.69,0.97,0.29,0.64,0.50,0.48,0.93,0.69,0.92,0.75,0.91,0.42,0.54,0.45,0.85,0.22,0.65,0.77,0.70,0.28,0.96,0.27
400,0.76,0.27,0.70,0.97,0.25,0.33,0.51,0.49,0.93,0.67,0.91,0.75,0.89,0.38,0.54,0.39,0.87,0.21,0.65,0.70,0.67,0.29,0.95,0.26
401,0.92,0.41,1.00,0.95,0.00,0.83,0.48,0.49,0.93,0.79,0.91,0.77,0.93,0.95,0.42,0.91,0.68,0.07,0.84,0.91,0.95,0.29,0.99,0.21
402,0.89,0.41,1.00,0.95,0.00,0.77,0.47,0.48,0.93,0.79,0.92,0.75,0.93,0.95,0.41,0.87,0.68,0.07,0.81,0.91,0.91,0.29,0.98,0.24
403,0.65,0.33,0.81,0.94,0.00,0.69,0.49,0.48,0.93,0.65,0.93,0.60,0.94,0.53,0.50,0.61,0.77,0.06,0.60,0.82,0.63,0.30,0.95,0.27
404,0.70,0.31,0.81,0.95,0.00,0.68,0.48,0.48,0.93,0.68,0.88,0.63,0.90,0.53,0.49,0.65,0.72,0.07,0.58,0.84,0.66,0.30,0.95,0.26
405,0.68,0.30,0.81,0.97,0.00,0.77,0.47,0.49,0.93,0.65,0.92,0.60,0.95,0.53,0.50,0.68,0.73,0.08,0.62,0.84,0.67,0.29,0.95,0.24
406,0.80,0.35,0.93,0.96,0.00,0.83,0.46,0.49,0.93,0.76,0.90,0.73,0.92,0.82,0.44,0.82,0.67,0.08,0.72,0.91,0.84,0.29,0.98,0.26
407,0.84,0.37,0.93,0.96,0.00,0.80,0.45,0.49,0.93,0.76,0.89,0.73,0.91,0.81,0.44,0.82,0.66,0.07,0.75,0.91,0.84,0.29,0.97,0.26
408,0.85,0.37,0.97,0.95,0.00,0.83,0.45,0.49,0.92,0.78,0.89,0.76,0.92,0.92,0.41,0.85,0.68,0.07,0.79,0.93,0.90,0.29,0.98,0.20
409,0.83,0.35,0.93,0.94,0.00,0.76,0.44,0.49,0.93,0.76,0.89,0.73,0.92,0.81,0.44,0.72,0.70,0.07,0.76,0.91,0.82,0.29,0.97,0.27
410,0.88,0.39,1.00,0.96,0.00,0.85,0.48,0.47,0.94,0.79,0.91,0.77,0.94,0.95,0.41,0.85,0.69,0.07,0.83,0.95,0.92,0.29,0.98,0.25
411,0.83,0.39,0.99,0.95,0.00,0.73,0.46,0.46,0.93,0.79,0.91,0.75,0.94,0.95,0.40,0.84,0.70,0.07,0.81,0.96,0.89,0.29,0.98,0.29
412,0.80,0.35,0.93,0.95,0.00,0.85,0.48,0.46,0.94,0.77,0.91,0.73,0.93,0.81,0.44,0.70,0.75,0.07,0.77,0.92,0.80,0.29,0.97,0.23
413,0.82,0.36,0.93,0.96,0.00,0.84,0.50,0.47,0.93,0.77,0.91,0.73,0.94,0.81,0.44,0.75,0.72,0.06,0.77,0.93,0.82,0.29,0.98,0.22
414,0.86,0.40,1.00,0.93,0.00,0.76,0.49,0.47,0.93,0.79,0.91,0.75,0.94,0.95,0.41,0.83,0.70,0.07,0.81,0.96,0.89,0.29,0.98,0.21
415,0.81,0.36,0.93,0.94,0.00,0.50,0.52,0.42,0.95,0.76,0.93,0.70,0.96,0.78,0.44,0.72,0.74,0.06,0.65,0.94,0.78,0.29,0.97,0.19
416,0.64,0.27,0.66,0.95,0.28,0.72,0.47,0.43,0.94,0.64,0.91,0.73,0.88,0.40,0.52,0.39,0.84,0.17,0.56,0.83,0.58,0.29,0.94,0.26
417,0.71,0.27,0.74,0.96,0.27,0.59,0.45,0.44,0.94,0.64,0.91,0.73,0.88,0.44,0.51,0.58,0.75,0.11,0.62,0.85,0.69,0.30,0.96,0.25
